ID,scode,sname,sem,dept,credit
,15UEC404,Signals and Systems,4,ECE,4
,15UEC405,Digital Communication,4,ECE,3
,15UEC407,Analog Circuits Laboratory,4,ECE,1
,15UEC408,Communication System Laboratory,4,ECE,1
,15UEE426,Principles of Electrical Machines,4,ECE,3
,15UMA424,Probability and Random Processes,4,ECE,4
,15UGS431,Reasoning and Quantitative Aptitude,4,ECE,1
,15UCS429,Programming with C Laboratory,4,ECE,1
,15UEC863,Programming in PYTHON,4,ECE,1
,15UEC861,PIC Embedded Programming,5,ECE,1
,15UEC507,Digital Signal Processing Laboratory,5,ECE,1
,15UEC508,"Microprocessors, Microcontrollers and Applications Laboratory",5,ECE,1
,15UGS531,Soft Skills and Communication Laboratory,5,ECE,1
,15UEC501,Digital Signal Processing,5,ECE,4
,15UEC502,Transmission Lines and Waveguides,5,ECE,3
,15UEC503,"Microprocessors, Microcontrollers and Applications",5,ECE,3
,15UEC504,Data Communication and Networks,5,ECE,3
,15UEC904,Linear Control Engineering,5,ECE,3
,15UEC922,Professional Elective,5,ECE,3
,15UCS972,Open Elective,6,ECE,3
,15UEC864,Android,6,ECE,1
,15UEC607,Networks Lab,6,ECE,1
,15UEC608,VLSI Design Laboratory,6,ECE,1
,15UEC601,Wireless Communication Systems,6,ECE,3
,15UEC602,Professional Elective,6,ECE,3
,15UEC603,VLSI design,6,ECE,3
,15UEC915,Internet of Things,6,ECE,3
,15UEC916,Satellite Communication Principles and Applications,6,ECE,3
,15UEC609,Technical Project,6,ECE,3
,15UEN952,Open Elective,7,ECE,3
,15U2C003,Data Science and Big Data Analytics,7,ECE,2
,15UME701,Project Management and Finance,7,ECE,3
,15U2T001,Internship/Industrial Training-I,7,ECE,2
,15UEC706,Optical and Microwave Communication Laboratory,7,ECE,1
,15UGS731,Personality and Social Development,7,ECE,0
,15UGS732,Skills Development,7,ECE,0
,15UEC703,Microwave Engineering,7,ECE,3
,15UEC702,Optical Communication and Networks,7,ECE,3
,15UEC907,Professional Elective,7,ECE,3
,15UCS107,Computer Programming,1,MECH,3
,15UCS109,Computer Programming Laboratory,1,MECH,1
,15UCY104,Engineering Chemistry,1,MECH,3
,15UEN101,Technical English,1,MECH,2
,15UGS112,Basic Sciences Laboratory - I,1,MECH,1
,15UMA102,Engineering Mathematics - I,1,MECH,4
,15UME108,Engineering Graphics,1,MECH,4
,15UME110,Engineering Practices Laboratory,1,MECH,1
,15UPH103,Engineering Physics,1,MECH,3
,15UCY207,Environmental Science,2,MECH,3
,15UEE208,Basic Electrical and Electronics Engineering,2,MECH,3
,15UEN201,Business English and Presentation Skills,2,MECH,3
,15UGS210,Basic Sciences Laboratory - II,2,MECH,1
,15UMA202,Engineering Mathematics - II,2,MECH,4
,15UME208,Basic Civil and Mechanical Engineering,2,MECH,3
,15UME211,Computer Aided Drafting and Modeling Laboratory,2,MECH,1
,15UPH203,Material Science,2,MECH,3
,15UEE323,Electrical Machines,3,MECH,4
,15UGS331,Value Education and Human Rights,3,MECH,0
,15UMA321,Transforms and Partial Differential Equations,3,MECH,4
,15UME302,Manufacturing Technology-I,3,MECH,3
,15UME303,Engineering Thermodynamics,3,MECH,3
,15UME304,Fluid Mechanics and Machinery,3,MECH,3
,15UME305,Engineering Mechanics,3,MECH,3
,15UME307,Manufacturing Technology Laboratory - I,3,MECH,1
,15UME308,Fluid Mechanics and Machinery Laboratory,3,MECH,1
,PH,Placement Hour,3,MECH,0
,15UMA423,Statistics and Numerical Methods,4,MECH,4
,15UME861,Smart Materials,4,MECH,1
,15UGS431,Reasoning and Quantitative Aptitude,4,MECH,1
,15UME407,I.C Engine and Steam Laboratory,4,MECH,1
,15UME408,Manufacturing Technology Laboratory - II,4,MECH,1
,15UME409,Material Testing Laboratory,4,MECH,1
,15UME402,Kinematics of Machinery,4,MECH,3
,15UME403,Manufacturing Technology - II,4,MECH,3
,15UME404,Thermal Engineering,4,MECH,3
,15UME405,Strength of Materials,4,MECH,3
,15UME406,Machine Drawing,4,MECH,3
,15UME507,CAD/CAM Laboratory,5,MECH,1
,15UME508,Dynamics Laboratory,5,MECH,1
,15UME509,Metallurgy Laboratory,5,MECH,1
,15UME501,Dynamics of Machinery,5,MECH,3
,15UME502,Engineering Materials and Metallurgy,5,MECH,3
,15UME503,Design of Machine Elements,5,MECH,3
,15UME504,Operations Research,5,MECH,3
,15UME903,Automobile Engineering,5,MECH,3
,15UME904,Applied Hydraulics and Pneumatics,5,MECH,3
,15UCS976,Open Elective,6,MECH,3
,15UME865,Jigs and Fixtures,6,MECH,1
,15UGS531,Soft Skills and Communication Laboratory,6,MECH,1
,15UME608,Metrology and Measurements Laboratory,6,MECH,1
,15UME609,Heat and Mass Transfer Laboratory,6,MECH,1
,15UME601,Design of Transmission Systems,6,MECH,3
,15UME602,Engineering Metrology and Measurements,6,MECH,3
,15UME603,Heat and Mass Transfer,6,MECH,3
,15UME902,Gas Dynamics and Jet Propulsion,6,MECH,3
,15UME920,Production Planning and Control,6,MECH,3
,15UME607,Technical Project,6,MECH,3
,15U3N037,Fundamentals of Manufacturing Process-NPTEL,6,MECH,3
,15UBM953,Open Elective,7,MECH,3
,15UME863,Solar Energy,7,MECH,1
,15UME706,Computer Aided Analysis Laboratory,7,MECH,1
,15UME707,Mechatronics Laboratory,7,MECH,1
,15UGS731,Personality and Social Development,7,MECH,0
,15UGS732,Skills Development,7,MECH,0
,15UME701,Project Management and Finance,7,MECH,3
,15UME702,Finite Element Analysis,7,MECH,3
,15UME703,Mechatronics,7,MECH,3
,15UGM952,Automation in Agriculture,7,MECH,3
,15U3R005,Design and Fabrication of Light weight Racing Car,7,MECH,3
,15UEN101,Technical English,1,BME,2
,15UMA102,Engineering Mathematics - I,1,BME,4
,15UPH103,Engineering Physics,1,BME,3
,15UCY105,Applied Chemistry,1,BME,3
,15UCS107,Computer Programming,1,BME,3
